<<<msexch_database:sep(59)>>>
locale; en-US
"Path";"CookedValue"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\database cache % hit (unique)";"100"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\database cache requests/sec (unique)";"0.995429941322192"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\database cache requests/sec";"3.98171976528877"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\streaming backup pages read/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\database maintenance duration";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database reads (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database reads (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database reads (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database reads (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database reads/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database reads average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o log reads/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o log reads average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database writes (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database writes (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database writes (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database writes (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o database writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o flush map writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o flush map writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o log writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\i/o log writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\database cache miss (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\database oldest transaction";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\defragmentation tasks";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\defragmentation tasks pending";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\sessions in use";"7"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\sessions % used";"0.654817586529467"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\table open cache % hit";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\table open cache hits/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\table open cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\table opens/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\table closes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\tables open";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log bytes write/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log bytes generated/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log threads waiting";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log generation checkpoint depth";"1"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log generation checkpoint depth target";"76"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log checkpoint depth as a % of target";"1.31578947368421"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log generation checkpoint depth max";"1024"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log generation loss resiliency depth";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log files generated";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log files generated prematurely";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log file current generation";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\log record stalls/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\version buckets allocated";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache size (mb)";"1"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache % hit";"100"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache % hit (unique)";"100"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache requests/sec (unique)";"0.995429941322192"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache requests/sec";"3.98171976528877"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\streaming backup pages read/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database maintenance duration";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database reads (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database reads (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database reads (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database reads (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database reads/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database reads average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o log reads/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o log reads average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database writes (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database writes (attached) average latency";"0"
