Name,Version,License,Link License Text,Repository path,Comment
Perl module: Path-Class,0.35,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: PathTools,3.47,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Perl-OSType,1.008,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Scalar-List-Utils,1.42,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Socket,2.019,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Sub-Exporter-Progressive,0.001011,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Sub-Install,0.928,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Sys-SigAction,0.21,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Term-Clui,1.70,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Term-ProgressBar,2.17,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Term-ReadLine-Gnu,1.25,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Term-ShellUI,0.92,MIT,https://opensource.org/licenses/MIT,,
Perl module: Term-Size,0.207,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,dual licensed with own text or artistic
Perl module: TermReadKey,2.37,Artistic-1.0,http://www.perl.com/perl/misc/Artistic.html,,
Perl module: Test-Cmd,1.08,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Test-Simple,1.001014,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Text-ParseWords,3.29,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Time-HiRes,1.9726,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Try-Tiny,0.22,MIT,https://opensource.org/licenses/MIT,,
Perl module: Types-Serialiser,1.0,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: URI,1.67,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: version,0.9924,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-LibXML,2.0134,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-NamespaceSupport,1.11,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-Parser,2.44,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-SAX,0.99,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-SAX-Base,1.08,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-Simple,2.20,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: XML-Twig,3.52,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
